Handle,Title,Type,Option1 Name,Option1 Value,Metafield: details.grape [list.single_line_text_field],Metafield: details.region1 [single_line_text_field],Metafield: details.color [single_line_text_field],Metafield: details.subregion [single_line_text_field],Metafield: details.producer [single_line_text_field],Metafield: details.points [list.single_line_text_field],Metafield: details.country [single_line_text_field],Metafield: details.vintagenv [single_line_text_field],Metafield: custom.sparkling [single_line_text_field],Metafield: details.body [number_integer],Metafield: details.acid [number_integer],Metafield: details.tannin [number_integer],Metafield: details.classification [single_line_text_field]
chateau-mouton-rothschild-pauillac-premier-cru-classe-2001,"Chateau Mouton Rothschild: Pauillac, Premier Cru Classe 2001",Wine,Size,750ml,"[""Cabernet Sauvignon"",""Merlot"",""Cabernet Franc"",""Petit Verdot""]",Bordeaux,Red,Pauillac,Mouton Rothschild,"[""91 points | Vinous"",""89 points | Wine Advocate""]",France,2001,Still,4,3,4,Premier Cru Classe
chateau-mouton-rothschild-pauillac-premier-cru-classe-2001,"Chateau Mouton Rothschild: Pauillac, Premier Cru Classe 2001",Wine,Size,1.5L,,,,,,,,,,,,,
chateau-montrose-saint-estephe-2eme-cru-classe-2015,"Chateau Montrose: Saint-Estephe, 2eme Cru Classe 2015",Wine,Size,1.5L,"[""Cabernet Sauvignon"",""Merlot"",""Cabernet Franc"",""Petit Verdot""]",Bordeaux,Red,Saint-Estephe,Montrose,"[""93 points | Vinous"",""95 points | Wine Advocate""]",France,2015,Still,4,3,4,2eme Cru Classe
chateau-montrose-saint-estephe-2eme-cru-classe-2015,"Chateau Montrose: Saint-Estephe, 2eme Cru Classe 2015",Wine,Size,6L,,,,,,,,,,,,,
chateau-mouton-rothschild-pauillac-premier-cru-classe-2018,"Chateau Mouton Rothschild: Pauillac, Premier Cru Classe 2018",Wine,Size,750ml,"[""Cabernet Sauvignon"",""Merlot"",""Cabernet Franc""]",Bordeaux,Red,Pauillac,Mouton Rothschild,"[""99 points | Vinous"",""99 points | Wine Advocate""]",France,2018,Still,4,3,4,Premier Cru Classe
chateau-mouton-rothschild-pauillac-premier-cru-classe-2018,"Chateau Mouton Rothschild: Pauillac, Premier Cru Classe 2018",Wine,Size,1.5L,,,,,,,,,,,,,
chateau-mouton-rothschild-pauillac-premier-cru-classe-2018,"Chateau Mouton Rothschild: Pauillac, Premier Cru Classe 2018",Wine,Size,3L,,,,,,,,,,,,,
chateau-mouton-rothschild-pauillac-premier-cru-classe-2018,"Chateau Mouton Rothschild: Pauillac, Premier Cru Classe 2018",Wine,Size,6L,,,,,,,,,,,,,
chateau-mouton-rothschild-pauillac-premier-cru-classe-2019,"Chateau Mouton Rothschild: Pauillac, Premier Cru Classe 2019",Wine,Size,1.5L,"[""Cabernet Sauvignon"",""Merlot"",""Cabernet Franc""]",Bordeaux,Red,Pauillac,Mouton Rothschild,"[""99 points | Vinous"",""98+ points | Wine Advocate""]",France,2019,Still,4,3,4,Premier Cru Classe
chateau-mouton-rothschild-pauillac-premier-cru-classe-2019,"Chateau Mouton Rothschild: Pauillac, Premier Cru Classe 2019",Wine,Size,3L,,,,,,,,,,,,,
chateau-mouton-rothschild-pauillac-premier-cru-classe-2019,"Chateau Mouton Rothschild: Pauillac, Premier Cru Classe 2019",Wine,Size,6L,,,,,,,,,,,,,
chateau-pichon-baron-pauillac-2eme-cru-classe-2019,"Chateau Pichon Baron: Pauillac, 2eme Cru Classe 2019",Wine,Size,375ml,"[""Cabernet Sauvignon"",""Merlot"",""Cabernet Franc""]",Bordeaux,Red,Pauillac,Pichon Baron,"[""97 points | Vinous"",""97+ points | Wine Advocate""]",France,2019,Still,4,3,4,2eme Cru Classe
chateau-pichon-baron-pauillac-2eme-cru-classe-2019,"Chateau Pichon Baron: Pauillac, 2eme Cru Classe 2019",Wine,Size,750ml,,,,,,,,,,,,,
chateau-pichon-baron-pauillac-2eme-cru-classe-2019,"Chateau Pichon Baron: Pauillac, 2eme Cru Classe 2019",Wine,Size,1.5L,,,,,,,,,,,,,
chateau-pichon-longueville-comtesse-de-lalande-pauillac-2eme-cru-classe-2018,"Chateau Pichon Longueville Comtesse de Lalande: Pauillac, 2eme Cru Classe 2018",Wine,Size,750ml,"[""Cabernet Sauvignon"",""Merlot"",""Cabernet Franc""]",Bordeaux,Red,Pauillac,Pichon Longueville Comtesse de Lalande,"[""97 points | Vinous"",""97+ points | Wine Advocate""]",France,2018,Still,4,3,4,2eme Cru Classe
chateau-pichon-longueville-comtesse-de-lalande-pauillac-2eme-cru-classe-2018,"Chateau Pichon Longueville Comtesse de Lalande: Pauillac, 2eme Cru Classe 2018",Wine,Size,1.5L,,,,,,,,,,,,,
chateau-pichon-longueville-comtesse-de-lalande-pauillac-2eme-cru-classe-2017,"Chateau Pichon Longueville Comtesse de Lalande: Pauillac, 2eme Cru Classe 2017",Wine,Size,750ml,"[""Cabernet Sauvignon"",""Merlot"",""Cabernet Franc""]",Bordeaux,Red,Pauillac,Pichon Longueville Comtesse de Lalande,"[""95-97 points | Wine Advocate""]",France,2017,Still,4,3,4,2eme Cru Classe
chateau-pichon-longueville-comtesse-de-lalande-pauillac-2eme-cru-classe-2017,"Chateau Pichon Longueville Comtesse de Lalande: Pauillac, 2eme Cru Classe 2017",Wine,Size,1.5L,,,,,,,,,,,,,
chateau-pontet-canet-pauillac-5eme-cru-classe-2019,"Chateau Pontet-Canet: Pauillac, 5eme Cru Classe 2019",Wine,Size,375ml,"[""Cabernet Sauvignon"",""Merlot""]",Bordeaux,Red,Pauillac,Pontet-Canet,"[""96 points | Vinous"",""93 points | Wine Advocate""]",France,2019,Still,4,3,4,5eme Cru Classe
chateau-pontet-canet-pauillac-5eme-cru-classe-2019,"Chateau Pontet-Canet: Pauillac, 5eme Cru Classe 2019",Wine,Size,750ml,,,,,,,,,,,,,
chateau-pontet-canet-pauillac-5eme-cru-classe-2019,"Chateau Pontet-Canet: Pauillac, 5eme Cru Classe 2019",Wine,Size,1.5L,,,,,,,,,,,,,
chateau-pontet-canet-pauillac-5eme-cru-classe-2019,"Chateau Pontet-Canet: Pauillac, 5eme Cru Classe 2019",Wine,Size,3L,,,,,,,,,,,,,
chateau-pontet-canet-pauillac-5eme-cru-classe-2019,"Chateau Pontet-Canet: Pauillac, 5eme Cru Classe 2019",Wine,Size,6L,,,,,,,,,,,,,
chateau-pontet-canet-pauillac-5eme-cru-classe-2019,"Chateau Pontet-Canet: Pauillac, 5eme Cru Classe 2019",Wine,Size,12L,,,,,,,,,,,,,
chateau-pontet-canet-pauillac-5eme-cru-classe-2019,"Chateau Pontet-Canet: Pauillac, 5eme Cru Classe 2019",Wine,Size,15L,,,,,,,,,,,,,
chateau-pichon-longueville-comtesse-de-lalande-pauillac-2eme-cru-classe-2019,"Chateau Pichon Longueville Comtesse de Lalande: Pauillac, 2eme Cru Classe 2019",Wine,Size,375ml,"[""Cabernet Sauvignon"",""Merlot"",""Cabernet Franc""]",Bordeaux,Red,Pauillac,Pichon Longueville Comtesse de Lalande,"[""99 points | Vinous"",""98 points | Wine Advocate""]",France,2019,Still,4,3,4,2eme Cru Classe
chateau-pichon-longueville-comtesse-de-lalande-pauillac-2eme-cru-classe-2019,"Chateau Pichon Longueville Comtesse de Lalande: Pauillac, 2eme Cru Classe 2019",Wine,Size,750ml,,,,,,,,,,,,,
chateau-pichon-longueville-comtesse-de-lalande-pauillac-2eme-cru-classe-2019,"Chateau Pichon Longueville Comtesse de Lalande: Pauillac, 2eme Cru Classe 2019",Wine,Size,1.5L,,,,,,,,,,,,,
chateau-pichon-longueville-comtesse-de-lalande-pauillac-2eme-cru-classe-2019,"Chateau Pichon Longueville Comtesse de Lalande: Pauillac, 2eme Cru Classe 2019",Wine,Size,3L,,,,,,,,,,,,,
chateau-pichon-longueville-comtesse-de-lalande-pauillac-2eme-cru-classe-2019,"Chateau Pichon Longueville Comtesse de Lalande: Pauillac, 2eme Cru Classe 2019",Wine,Size,6L,,,,,,,,,,,,,
dom-perignon-luminous-rose-2008,Dom Perignon: Luminous Rose 2008,Wine,Size,750ml,"[""Pinot Noir"",""Chardonnay""]",Champagne,Rose,NA,Dom Perignon,,France,2008,Sparkling,1,4,,
dom-perignon-luminous-rose-2008,Dom Perignon: Luminous Rose 2008,Wine,Size,1.5L,,,,,,,,,,,,,
chateau-rauzan-segla-margaux-2eme-cru-classe-2019,"Chateau Rauzan-Segla: Margaux, 2eme Cru Classe 2019",Wine,Size,375ml,"[""Cabernet Sauvignon"",""Merlot"",""Cabernet Franc"",""Petit Verdot""]",Bordeaux,Red,Margaux,Rauzan-Segla,"[""97 points | Vinous"",""96 points | Wine Advocate""]",France,2019,Still,4,3,4,2eme Cru Classe
chateau-rauzan-segla-margaux-2eme-cru-classe-2019,"Chateau Rauzan-Segla: Margaux, 2eme Cru Classe 2019",Wine,Size,750ml,,,,,,,,,,,,,
chateau-rauzan-segla-margaux-2eme-cru-classe-2019,"Chateau Rauzan-Segla: Margaux, 2eme Cru Classe 2019",Wine,Size,1.5L,,,,,,,,,,,,,
chateau-rauzan-segla-margaux-2eme-cru-classe-2019,"Chateau Rauzan-Segla: Margaux, 2eme Cru Classe 2019",Wine,Size,3L,,,,,,,,,,,,,
chateau-rauzan-segla-margaux-2eme-cru-classe-2019,"Chateau Rauzan-Segla: Margaux, 2eme Cru Classe 2019",Wine,Size,6L,,,,,,,,,,,,,
chateau-rauzan-segla-margaux-2eme-cru-classe-2019,"Chateau Rauzan-Segla: Margaux, 2eme Cru Classe 2019",Wine,Size,9L,,,,,,,,,,,,,
chateau-rauzan-segla-margaux-2eme-cru-classe-2019,"Chateau Rauzan-Segla: Margaux, 2eme Cru Classe 2019",Wine,Size,12L,,,,,,,,,,,,,
chateau-rauzan-segla-margaux-2eme-cru-classe-2019,"Chateau Rauzan-Segla: Margaux, 2eme Cru Classe 2019",Wine,Size,15L,,,,,,,,,,,,,
chateau-rauzan-segla-margaux-2eme-cru-classe-2019,"Chateau Rauzan-Segla: Margaux, 2eme Cru Classe 2019",Wine,Size,18L,,,,,,,,,,,,,
